Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,5380090,10,32.71,100,31.96,32.56,5294077,86013
UVXY,3875852,8,32.75,400,32.58,32.60,3843522,32330
SVXY,1270130,600,53.32,400,53.20,53.35,1261746,8384
ARKG,1086709,100,86.00,3,84.14,85.02,1081313,5396
RSX,1017421,5,30.00,50,28.50,29.16,1001625,15796
ITB,893982,26,68.25,2,66.29,66.57,854876,39106
VIXY,823077,30,26.71,631,26.57,26.54,815051,8026
IEFA,661841,1,77.00,20,76.15,76.51,652677,9164
EZU,627073,200,50.86,1,50.50,50.63,623912,3161
IGV,581921,3,385.29,25,357.50,371.71,564653,17268
INDA,519706,200,46.50,90,44.30,44.48,513723,5983
USMV,497109,100,73.50,10,71.00,72.50,480358,16751
GOVT,269469,50,27.50,100,26.25,26.40,261074,8395
EFV,262870,59,56.00,10,51.12,53.44,258760,4110
CBOE,199383,60,124.00,2,113.00,116.33,198571,812
VLUE,188223,82,107.54,130,99.86,105.72,184805,3418
MTUM,150268,4,171.75,1,165.21,168.87,149304,964
IDV,146470,50,35.00,2,33.09,33.29,143683,2787
QUAL,132253,2,129.96,2,124.62,129.31,131076,1177
ARKQ,127421,100,80.85,25,79.56,80.41,127261,160
PAVE,124558,400,26.00,140,25.75,25.90,121725,2833
EFAV,115616,2,78.00,3,67.73,76.26,115110,506
JPST,114157,2400,50.75,100,50.71,50.73,83948,30209
REM,112599,258,39.00,10,37.40,37.60,112583,16
USHY,96085,1800,42.06,1,41.00,41.40,90197,5888
EEMV,87016,7,66.00,3,61.47,63.72,86280,736
VNM,79405,9,20.25,282,19.73,19.73,76938,2467
ARKX,69604,3,20.60,1,20.31,20.40,68719,885
FLOT,68091,1000,50.82,1000,50.79,50.81,67621,470
ECH,64839,300,31.00,50,29.00,29.29,64039,800
IYT,64404,20,270.03,1,262.50,263.76,63676,728
EFG,62619,2,109.24,2,102.10,108.79,59020,3599
HEFA,61818,0,0.00,0,0.00,35.02,61518,300
NOBL,56997,2,92.50,100,91.00,91.34,56385,612
PICK,54226,200,49.50,1,44.73,44.83,53239,987
MOAT,49516,4,74.70,12,74.06,74.47,49083,433
ICVT,48926,20,110.90,10,92.43,99.78,48497,429
IGE,47959,160,32.79,167,29.65,31.35,47958,1
ICF,47531,0,0.00,15,54.90,65.76,46249,1282
HYD,46383,6,64.63,1,62.10,63.26,45589,794
BBEU,46340,30,63.90,50,60.00,60.56,42009,4331
VUSB,45846,0,0.00,1015,50.08,50.11,45846,0
FAPR,35434,0,0.00,0,0.00,30.40,35434,0
BBAX,34180,0,0.00,0,0.00,60.06,31227,2953
BBCA,27511,0,0.00,1,37.99,66.07,26811,700
TAIL,26580,1,19.16,100,18.18,18.69,26580,0
IYZ,26380,1,33.80,1,33.26,33.40,26380,0
ACWV,25247,30,120.00,2,94.04,102.61,24855,392
JPIB,23200,0,0.00,100,50.57,51.45,10558,12642
ESGV,22242,2,78.72,2,75.00,78.36,21702,540
RYLD,21742,5,25.70,1,25.33,25.35,21636,106
ESML,20877,0,0.00,0,0.00,40.33,20877,0
FLQL,20862,4,43.80,0,0.00,42.12,20638,224
IFRA,20557,2500,36.75,2,35.95,36.73,20540,17
EMHY,19334,7,48.27,10,42.00,45.55,19334,0
NEAR,19275,502,50.20,0,0.00,50.17,18975,300
BBJP,19227,0,0.00,0,0.00,57.84,18410,817
IEO,17858,45,59.88,2,53.28,58.07,17858,0
YMAR,17759,0,0.00,0,0.00,21.15,17759,0
HEGD,17391,0,0.00,0,0.00,17.85,17391,0
ITA,17213,2,113.50,15,110.01,110.75,17143,70
IZRL,14573,1,31.80,5,31.40,31.68,14573,0
IGHG,14232,0,0.00,0,0.00,76.65,14232,0
BBUS,14207,4,82.00,10,49.81,77.44,13907,300
ICSH,14059,2000,50.52,200,50.40,50.50,11959,2100
SMMD,13909,3,68.00,200,59.87,65.85,13409,500
SLVP,13849,10,18.25,4,14.73,16.85,13833,16
NULG,13149,0,0.00,100,55.00,61.78,12580,569
FGRO,12637,0,0.00,100,19.00,20.18,12637,0
FCPI,12506,0,0.00,1,28.05,29.69,12131,375
